+-----------+--------------------+---------+
| counterid | l                  | c       |
+-----------+--------------------+---------+
| 233773    | 394.6321349724993  | 2721384 |
| 245438    | 245.60823179932564 | 2452052 |
| 122612    | 225.84979367680077 | 3559464 |
| 234004    | 198.08936562473812 | 238660  |
| 1634      | 187.95694383857884 | 323229  |
| 786       | 180.36009889818135 | 120528  |
| 114157    | 138.6298362974846  | 216307  |
| 515       | 123.96623033619909 | 146907  |
| 95427     | 113.84614497108896 | 372695  |
| 199550    | 106.8812338771618  | 7115295 |
| 220992    | 103.10292159838139 | 494250  |
| 256004    | 102.3966444220375  | 842001  |
