+------------------------------+--------------------+---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| key                          | l                  | c       | min(hits.referer)                                                                                                                                                                                                                                                                                                                                                                                                               |
+------------------------------+--------------------+---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| svpressa.ru                  | 279.51783628024486 | 242231  | http://svpressa.ru                                                                                                                                                                                                                                                                                                                                                                                                              |
| msuzie-showforumdisplay      | 245.07403897476118 | 183606  | http://msuzie-showforumdisplay                                                                                                                                                                                                                                                                                                                                                                                                  |
| saint-peters-total=меньше 80 | 223.19996408905914 | 200496  | http://saint-peters-total=меньше 80/cash/station=search&input_age1=&int[2274/trashbox.ru/details&cad=rjt&fu=0&input_who1=2&input_who1=2&input_city-4400047.html?1=1&price_ot=&price_ot=&price=мень&clid=143431512&s_yers=0&model&desc=&name=1&markett.ru%2Frenazheltyj-95692465&text=поздравстраницу&clid=4405404/menu_29.html&ei=UIX1UZTFNJTI0ci8guSn3tW.pl?cmd=showthreadreplies=978-4121-469171&history47/11/?from=&district |
| e96.ru                       | 195.55136393891974 | 1018594 | http://e96.ru                                                                                                                                                                                                                                                                                                                                                                                                                   |
| domics                       | 162.96569998246258 | 313615  | http://domics/825179.11931861234499792                                                                                                                                                                                                                                                                                                                                                                                          |
| gadgets.irr.ru               | 124.63691134424651 | 349058  | https://gadgets.irr.ru/2jmj7l5rSw0yVb                                                                                                                                                                                                                                                                                                                                                                                           |
| go.mail                      | 104.3197110581521  | 8247888 | http://go.mail                                                                                                                                                                                                                                                                                                                                                                                                                  |
| google.ru                    | 103.76721222058053 | 2159701 | http://google.ru                                                                                                                                                                                                                                                                                                                                                                                                                |
| msouz.ru                     | 102.71348396549782 | 301662  | http://msouz.ru/?ffshop                                                                                                                                                                                                                                                                                                                                                                                                         |
| state=19945206               | 101.99202635888606 | 512313  | http://state=19945206/foto-4/login%20NoTs3M&where=all&filmId=u8aGGqtWs3M&where=all&server=sc.cheloveplanet.ru/forum.little&categoriya/muzhskaya_istory.com/demii-malchik_148_4055074241537][to]=&input_activalry: A Love&where=all&text=купить florer&aktion/loansert перевозобности&site_id=197&text=добавь   лазерногорский  тайская полупая автомобильника&v=1414-resp_desyachnyeprague                                      |
| bonprix.ru                   | 99.5759902270334   | 1127191 | http://bonprix.ru                                                                                                                                                                                                                                                                                                                                                                                                               |
| loveplanet.ru                | 98.9743798720499   | 465025  | http://loveplanet.ru                                                                                                                                                                                                                                                                                                                                                                                                            |
