query,pgfusion_best_ms,pgfusion_status,postgres_best_ms,postgres_status
Q0,10893.240,OK,13888.537,OK
Q1,11344.376,OK,13899.536,OK
Q2,11208.595,OK,19686.063,OK
Q3,11635.469,OK,16302.590,OK
Q4,11608.357,OK,33137.564,OK
Q5,11064.434,OK,302809.893,OK
Q6,10801.790,OK,15061.807,OK
Q7,10810.738,OK,14050.071,OK
Q8,11142.615,OK,30304.898,OK
Q9,12307.090,OK,32369.293,OK
Q10,11055.198,OK,15548.379,OK
Q11,11362.749,OK,16226.413,OK
Q12,11097.827,OK,224484.778,OK
Q13,11897.321,OK,280353.914,OK
Q14,11465.391,OK,226090.565,OK
Q15,11101.498,OK,19167.373,OK
Q16,11647.561,OK,36685.426,OK
Q17,12296.175,OK,19510.491,OK
Q18,23927.110,OK,42532.193,OK
Q19,11664.152,OK,14864.070,OK
Q20,14122.244,OK,16954.041,OK
Q21,11674.531,OK,16932.710,OK
Q22,12547.452,OK,14933.787,OK
Q23,68568.458,OK,16175.354,OK
Q24,11297.230,OK,15001.624,OK
Q25,10702.497,OK,20887.833,OK
Q26,10614.098,OK,13895.819,OK
Q27,11347.920,OK,15462.915,OK
Q28,18043.722,OK,73249.242,OK
Q29,211611.111,OK,17331.099,OK
Q30,11644.636,OK,17481.600,OK
Q31,11388.948,OK,54572.323,OK
Q32,61076.483,OK,47935.953,OK
Q33,13380.261,OK,216509.317,OK
Q34,13311.124,OK,212832.203,OK
Q35,11170.359,OK,18525.291,OK
Q36,10557.260,OK,16700.451,OK
Q37,11077.136,OK,15019.401,OK
Q38,10766.985,OK,13126.595,OK
Q39,11507.108,OK,18858.849,OK
Q40,11463.882,OK,13881.616,OK
Q41,11362.286,OK,14262.705,OK
Q42,11379.998,OK,17541.302,OK
