query,pgfusion_best_ms,pgfusion_status,postgres_best_ms,postgres_status
Q0,10545.464,OK,13408.286,OK
Q1,11341.206,OK,13745.941,OK
Q2,11301.223,OK,14356.846,OK
Q3,10684.619,OK,13747.491,OK
Q4,11037.815,OK,21260.460,OK
Q5,10819.808,OK,285932.635,OK
Q6,11262.194,OK,14178.736,OK
Q7,13398.477,OK,13870.945,OK
Q8,11079.502,OK,28825.205,OK
Q9,11599.559,OK,31057.922,OK
Q10,10602.191,OK,15845.281,OK
Q11,12985.529,OK,15848.492,OK
Q12,10792.047,OK,221332.280,OK
Q13,10859.724,OK,271543.512,OK
Q14,10703.749,OK,220336.156,OK
Q15,10896.693,OK,18813.229,OK
Q16,11912.167,OK,35355.479,OK
Q17,11279.150,OK,18857.361,OK
Q18,22516.270,OK,42163.280,OK
Q19,10660.952,OK,14022.579,OK
Q20,10615.528,OK,14219.713,OK
Q21,11244.392,OK,14085.053,OK
Q22,11390.280,OK,15156.363,OK
Q23,62476.193,OK,14963.763,OK
Q24,10513.058,OK,14338.121,OK
Q25,11261.073,OK,14538.967,OK
Q26,11101.134,OK,13689.067,OK
Q27,11282.049,OK,15561.063,OK
Q28,17585.265,OK,75112.645,OK
Q29,204760.634,OK,17685.110,OK
Q30,11101.260,OK,17581.356,OK
Q31,10588.026,OK,17792.908,OK
Q32,61489.545,OK,47957.559,OK
Q33,13723.322,OK,212177.808,OK
Q34,13638.343,OK,211272.835,OK
Q35,11308.800,OK,18407.826,OK
Q36,10372.246,OK,16461.561,OK
Q37,10482.875,OK,14538.689,OK
Q38,10992.874,OK,13520.351,OK
Q39,11046.163,OK,17449.358,OK
Q40,11206.990,OK,14305.902,OK
Q41,11346.445,OK,13771.509,OK
Q42,11749.578,OK,13798.310,OK
