query,pgfusion_best_ms,pgfusion_status,postgres_best_ms,postgres_status
Q1,,ERROR,4925.604,OK
Q2,,ERROR,114350.430,OK
Q3,,ERROR,1971.537,OK
Q4,313.256,OK,609.043,OK
Q5,,ERROR,273.330,OK
Q6,,ERROR,162.697,OK
Q7,,ERROR,353.952,OK
Q8,,ERROR,370.136,OK
Q9,,ERROR,2970.308,OK
Q10,,ERROR,299.361,OK
Q11,,ERROR,87.148,OK
Q12,629.831,OK,241.726,OK
Q13,300.586,OK,298.277,OK
Q14,,ERROR,141.254,OK
Q15,,ERROR,720.244,OK
Q16,,ERROR,831.877,OK
Q17,,ERROR,1435437.098,OK
Q18,,ERROR,1933.826,OK
Q19,,ERROR,112.814,OK
